NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD,Y2024,Y2023,Y2022,AVG_PPG_PPR,BYE,WEIGHTED_SCORE,TIER
Kyle McCord,QB,PHI,0.1,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,9,0.1,13
Jack Plummer,QB,CAR,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,14,0.1,13
Sean Clifford,QB,GB,0.1,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,5,0.1,13
Adrian Martinez,QB,NYJ,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0,,,,,9,0.1,13
Josh Johnson,QB,WAS,0.1,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,12,0.08000000000000002,13
Christian McCaffrey,RB,SF,298.7,0,0,0,0.0,0.0,244,1137,7.9,79,61,587,3.4,11.8,24.4,20.9,19.0,14,299.76,1
Bijan Robinson,RB,ATL,305.3,0,0,0,0.0,0.0,276,1357,11.2,68,52,415,1.7,19.9,14.4,0.0,17.2,5,299.28000000000003,1
Devon Achane,RB,MIA,303.5,0,0,0,0.0,0.0,219,977,8.3,97,74,618,3.6,17.4,17.3,0.0,17.4,12,298.48,1
Saquon Barkley,RB,PHI,291.2,0,0,0,0.0,0.0,287,1584,10.1,46,35,279,1.7,22.1,15.8,17.6,18.5,9,292.16,1
Jahmyr Gibbs,RB,DET,289.7,0,0,0,0.0,0.0,243,1289,9.4,68,52,425,2.0,20.7,16.1,0.0,18.4,8,290.64,1
Ashton Jeanty,RB,LV,290.0,0,0,0,0.0,0.0,267,1298,6.9,73,56,475,2.7,,,,,8,290.0,1
Derrick Henry,RB,BAL,282.1,0,0,0,0.0,0.0,275,1510,13.2,30,23,212,1.4,19.8,14.4,18.8,17.7,7,282.32000000000005,1
Josh Jacobs,RB,GB,278.2,0,0,0,0.0,0.0,285,1326,10.1,53,40,363,1.7,17.2,13.8,19.3,16.8,5,276.32,1
Bucky Irving,RB,TB,277.5,0,0,0,0.0,0.0,242,1247,8.3,57,44,453,2.5,14.4,0.0,0.0,14.4,9,268.08,1
Alvin Kamara,RB,NO,253.9,0,0,0,0.0,0.0,177,814,6.0,93,71,541,2.1,18.9,17.4,14.5,16.9,11,257.2,2
Kenneth Walker III,RB,SEA,257.5,0,0,0,0.0,0.0,252,1164,7.0,63,48,391,2.3,16.4,13.2,13.5,14.4,8,252.08,2
Breece Hall,RB,NYJ,250.6,0,0,0,0.0,0.0,235,1069,6.3,69,53,424,2.0,14.8,16.9,16.3,16.0,9,251.68,2
Chase Brown,RB,CIN,267.7,0,0,0,0.0,0.0,254,1173,7.0,67,51,435,2.6,15.8,4.7,0.0,10.3,10,247.12,2
Joe Mixon,RB,HOU,242.3,0,0,0,0.0,0.0,220,1000,8.2,61,47,353,2.1,17.1,15.5,17.1,16.6,6,246.96000000000004,2
James Cook,RB,BUF,258.2,0,0,0,0.0,0.0,234,1168,8.1,60,46,372,1.9,16.6,13.6,6.6,12.3,7,245.92000000000002,2
James Conner,RB,ARI,244.9,0,0,0,0.0,0.0,205,984,10.3,55,42,344,1.5,15.6,15.5,15.4,15.5,8,245.52,2
Jonathan Taylor,RB,IND,238.5,0,0,0,0.0,0.0,297,1408,7.4,38,29,194,1.0,17.4,15.6,13.3,15.4,11,240.08,2
Kyren Williams,RB,LAR,221.1,0,0,0,0.0,0.0,268,1210,8.8,31,24,149,1.6,16.9,21.0,3.6,13.8,8,221.04,3
Omarion Hampton,RB,LAC,217.4,0,0,0,0.0,0.0,209,940,6.8,51,39,312,2.1,,,,,12,217.4,3
Chuba Hubbard,RB,CAR,218.5,0,0,0,0.0,0.0,211,1033,7.5,51,39,232,1.4,15.9,10.7,5.7,10.8,14,209.36,3
D’Andre Swift,RB,CHI,201.9,0,0,0,0.0,0.0,247,1065,5.0,47,36,272,0.6,12.4,12.4,13.4,12.7,5,202.16000000000003,3
Tony Pollard,RB,TEN,198.1,0,0,0,0.0,0.0,206,952,5.1,53,41,270,0.9,12.3,12.9,15.5,13.6,10,202.00000000000003,3
RJ Harvey,RB,DEN,201.0,0,0,0,0.0,0.0,190,813,5.4,56,43,320,2.2,,,,,12,201.0,3
Isiah Pacheco,RB,KC,207.9,0,0,0,0.0,0.0,204,900,5.8,55,42,324,1.8,8.0,15.6,7.9,10.5,10,199.92000000000002,3
Aaron Jones,RB,MIN,190.1,0,0,0,0.0,0.0,167,786,7.6,43,33,243,1.6,14.1,12.2,14.5,13.6,6,195.60000000000002,3
Brian Robinson Jr.,RB,WAS,191.7,0,0,0,0.0,0.0,204,930,7.6,32,24,224,1.2,11.3,13.0,9.3,11.2,12,189.2,3
David Montgomery,RB,DET,168.1,0,0,0,0.0,0.0,148,689,7.1,37,28,257,0.7,16.2,14.6,11.1,14.0,8,179.28,4
Travis Etienne Jr.,RB,JAC,168.2,0,0,0,0.0,0.0,143,629,2.9,56,43,347,1.8,8.6,16.3,11.9,12.3,8,173.92000000000002,4
Jaylen Warren,RB,PIT,173.9,0,0,0,0.0,0.0,135,610,2.4,62,47,400,2.1,8.3,11.5,5.8,8.5,5,166.32,4
Kaleb Johnson,RB,PIT,163.1,0,0,0,0.0,0.0,196,785,5.4,35,27,182,1.3,,,,,5,163.1,4
Austin Ekeler,RB,WAS,140.5,0,0,0,0.0,0.0,97,441,2.0,54,41,356,1.5,10.9,13.1,21.8,15.3,12,161.36,4
Tyjae Spears,RB,TEN,164.4,0,0,0,0.0,0.0,110,488,4.9,55,43,366,1.3,9.4,9.0,0.0,9.2,10,160.96,4
Rhamondre Stevenson,RB,NE,148.7,0,0,0,0.0,0.0,150,666,6.3,29,22,159,1.2,11.4,12.0,15.0,12.8,14,159.92000000000002,4
Tyrone Tracy Jr.,RB,NYG,150.2,0,0,0,0.0,0.0,161,747,2.7,42,32,224,1.0,10.6,0.0,0.0,10.6,14,154.07999999999998,4
TreVeyon Henderson,RB,NE,152.7,0,0,0,0.0,0.0,141,606,4.3,41,32,250,1.7,,,,,14,152.7,4
Najee Harris,RB,LAC,135.3,0,0,0,0.0,0.0,129,574,3.5,37,29,237,0.9,12.0,11.5,13.1,12.2,12,147.28,4
Rachaad White,RB,TB,135.1,0,0,0,0.0,0.0,109,497,3.3,40,31,263,1.5,12.4,15.7,8.1,12.1,9,146.8,4
Nick Chubb,RB,HOU,132.1,0,0,0,0.0,0.0,135,609,5.4,25,19,158,0.8,7.9,11.5,16.4,11.9,6,143.76000000000002,4
Jordan Mason,RB,MIN,154.0,0,0,0,0.0,0.0,161,781,6.2,27,21,150,0.7,9.5,4.0,3.4,5.6,6,141.12,4
Javonte Williams,RB,DAL,132.9,0,0,0,0.0,0.0,107,458,3.7,46,35,248,1.0,9.2,10.9,10.3,10.1,10,138.64000000000001,5
Dylan Sampson,RB,CLE,128.5,0,0,0,0.0,0.0,142,603,4.1,29,22,163,0.9,,,,,9,128.5,6
Cam Skattebo,RB,NYG,125.2,0,0,0,0.0,0.0,119,525,3.2,34,26,203,1.3,,,,,14,125.2,6
J.K. Dobbins,RB,DEN,107.8,0,0,0,0.0,0.0,93,436,2.3,36,28,178,1.0,14.6,11.0,10.1,11.9,12,124.32000000000002,6
Rico Dowdle,RB,CAR,117.2,0,0,0,0.0,0.0,128,615,2.7,26,20,149,0.9,12.3,5.7,0.0,9.0,14,122.56,6
Tank Bigsby,RB,JAC,129.6,0,0,0,0.0,0.0,151,703,5.8,19,14,94,0.3,8.5,1.5,0.0,5.0,8,119.68,6
Miles Sanders,RB,DAL,109.9,0,0,0,0.0,0.0,89,392,2.2,38,29,220,1.2,6.9,5.4,12.6,8.3,10,114.48000000000002,6
Zach Charbonnet,RB,SEA,108.1,0,0,0,0.0,0.0,90,416,3.4,31,24,184,0.7,10.6,6.6,0.0,8.6,8,114.0,6
Quinshon Judkins,RB,CLE,111.9,0,0,0,0.0,0.0,119,521,3.5,26,20,145,0.8,,,,,9,111.9,6
Raheem Mostert,RB,LV,93.5,0,0,0,0.0,0.0,91,408,3.2,23,17,143,0.5,5.4,17.8,10.5,11.2,8,110.63999999999999,6
Ray Davis,RB,BUF,108.2,0,0,0,0.0,0.0,108,493,2.3,27,21,180,1.2,6.8,0.0,0.0,6.8,7,108.32000000000001,6
Trey Benson,RB,ARI,120.2,0,0,0,0.0,0.0,155,682,3.7,22,17,124,0.4,3.5,0.0,0.0,3.5,8,107.36000000000001,6
Tyler Allgeier,RB,ATL,101.1,0,0,0,0.0,0.0,134,645,3.1,13,10,78,0.2,6.1,7.9,9.8,7.9,5,106.16,6
Roschon Johnson,RB,CHI,105.4,0,0,0,0.0,0.0,82,367,6.6,19,15,120,0.5,5.9,6.7,0.0,6.3,5,104.48,6
Elijah Mitchell,RB,KC,104.8,0,0,0,0.0,0.0,94,428,3.3,27,20,155,1.1,0.0,4.3,8.4,6.4,10,104.32000000000001,6
Isaac Guerendo,RB,SF,104.4,0,0,0,0.0,0.0,116,503,3.9,20,16,133,0.5,6.3,0.0,0.0,6.3,14,103.68,6
Jerome Ford,RB,CLE,84.4,0,0,0,0.0,0.0,84,405,1.8,24,18,137,0.3,9.5,12.4,0.5,7.5,9,91.52000000000001,7
Devin Singletary,RB,NYG,75.0,0,0,0,0.0,0.0,84,377,2.5,16,12,95,0.2,6.3,9.8,11.1,9.1,14,89.12,7
Jaydon Blue,RB,DAL,89.0,0,0,0,0.0,0.0,72,291,2.1,28,21,188,1.2,,,,,10,89.0,7
Zack Moss,RB,CIN,69.5,0,0,0,0.0,0.0,56,238,2.3,20,16,133,0.6,10.1,11.9,4.8,8.9,10,84.08000000000001,7
AJ Dillon,RB,PHI,67.0,0,0,0,0.0,0.0,78,386,1.6,12,9,68,0.5,0.0,7.8,9.8,8.8,9,81.76,7
Braelon Allen,RB,NYJ,80.0,0,0,0,0.0,0.0,89,411,1.6,22,17,120,0.3,4.9,0.0,0.0,4.9,9,79.68,7
Jaylen Wright,RB,MIA,90.7,0,0,0,0.0,0.0,120,525,2.0,17,13,105,0.6,2.1,0.0,0.0,2.1,12,79.28,7
Justice Hill,RB,BAL,73.8,0,0,0,0.0,0.0,24,111,0.2,35,27,251,1.7,8.4,6.8,2.7,6.0,7,78.24000000000001,7
Bhayshul Tuten,RB,JAC,77.0,0,0,0,0.0,0.0,82,330,2.6,19,14,99,0.7,,,,,8,77.0,7
Blake Corum,RB,LAR,86.5,0,0,0,0.0,0.0,103,445,3.5,15,11,88,0.3,2.3,0.0,0.0,2.3,8,76.56,7
MarShawn Lloyd,RB,GB,71.9,0,0,0,0.0,0.0,69,292,2.1,20,15,118,0.7,,,,,5,71.9,7
Cam Akers,RB,NO,57.3,0,0,0,0.0,0.0,63,290,1.9,12,9,61,0.4,6.1,6.6,9.3,7.3,11,69.2,7
Keaton Mitchell,RB,BAL,43.6,0,0,0,0.0,0.0,54,268,1.6,4,3,32,0.2,0.0,9.9,0.0,9.9,7,66.56,7
Emanuel Wilson,RB,GB,67.5,0,0,0,0.0,0.0,73,349,1.8,14,11,87,0.5,5.6,2.0,0.0,3.8,5,66.16,7
Trey Sermon,RB,PIT,75.2,0,0,0,0.0,0.0,82,358,3.3,14,11,70,0.4,3.1,1.7,0.5,1.8,5,65.92,7
Kendre Miller,RB,NO,61.7,0,0,0,0.0,0.0,66,303,2.0,13,10,85,0.3,4.7,5.3,0.0,5.0,11,65.36000000000001,7
Antonio Gibson,RB,NE,46.4,0,0,0,0.0,0.0,52,241,0.7,12,9,79,0.3,6.0,7.9,11.0,8.3,14,63.68,7
Kareem Hunt,RB,KC,41.0,0,0,0,0.0,0.0,40,173,1.9,7,6,45,0.4,11.8,7.9,7.4,9.0,10,61.60000000000001,7
Brock Lampe,RB,NE,57.6,0,0,0,0.0,0.0,14,46,0.4,34,26,167,1.4,,,,,14,57.6,7
