NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD,Y2024,Y2023,Y2022,AVG_PPG_PPR,BYE,WEIGHTED_SCORE,TIER
Kyle Juszczyk,RB,SF,51.4,0,0,0,0.0,0.0,10,37,0.5,29,23,177,0.8,3.4,2.2,3.3,3.0,14,50.720000000000006,8
Kalel Mullings,RB,TEN,46.5,0,0,0,0.0,0.0,47,193,1.4,12,10,64,0.5,,,,,10,46.5,8
Damien Martinez,RB,SEA,44.1,0,0,0,0.0,0.0,46,196,1.3,11,8,58,0.4,,,,,8,44.1,8
Jarquez Hunter,RB,LAR,41.4,0,0,0,0.0,0.0,46,185,1.4,9,7,49,0.4,,,,,8,41.4,8
DJ Giddens,RB,IND,41.1,0,0,0,0.0,0.0,47,187,1.4,9,7,47,0.3,,,,,11,41.1,8
Ty Johnson,RB,BUF,33.2,0,0,0,0.0,0.0,16,77,0.3,13,10,94,0.8,5.4,4.0,3.8,4.4,7,40.64,8
Sean Tucker,RB,TB,36.8,0,0,0,0.0,0.0,45,196,1.7,5,4,32,0.1,5.6,1.0,0.0,3.3,9,40.0,8
Khalil Herbert,RB,IND,22.4,0,0,0,0.0,0.0,24,112,1.0,3,2,20,0.1,2.4,9.2,9.0,6.9,11,40.0,8
Audric Estime,RB,DEN,34.8,0,0,0,0.0,0.0,46,197,1.1,6,5,34,0.1,3.7,0.0,0.0,3.7,12,39.68,8
Deuce Vaughn,RB,DAL,40.1,0,0,0,0.0,0.0,62,243,1.5,5,4,31,0.1,1.8,2.5,0.0,2.2,10,39.120000000000005,8
Ollie Gordon II,RB,MIA,38.0,0,0,0,0.0,0.0,40,161,1.0,10,8,55,0.4,,,,,12,38.0,8
Alec Ingold,RB,MIA,38.7,0,0,0,0.0,0.0,15,49,0.6,20,16,123,0.5,1.7,1.4,1.8,1.6,12,36.080000000000005,8
Ty Chandler,RB,MIN,25.2,0,0,0,0.0,0.0,37,169,0.0,5,4,35,0.2,2.3,7.1,0.0,4.7,6,35.2,8
Hunter Luepke,RB,DAL,38.7,0,0,0,0.0,0.0,25,100,1.0,16,12,93,0.3,1.6,0.6,0.0,1.1,10,34.480000000000004,8
Tahj Brooks,RB,CIN,33.8,0,0,0,0.0,0.0,32,130,1.0,10,7,54,0.3,,,,,10,33.8,8
Cordarrelle Patterson,RB,PIT,19.0,0,0,0,0.0,0.0,29,130,0.4,3,2,16,0.1,2.8,2.6,11.4,5.6,5,33.12,8
Trevor Etienne,RB,CAR,33.1,0,0,0,0.0,0.0,35,144,1.1,8,6,43,0.3,,,,,14,33.1,8
Patrick Ricard,RB,BAL,35.3,0,0,0,0.0,0.0,2,6,0.1,21,17,117,1.1,0.6,0.9,1.1,0.9,7,31.119999999999997,8
Alexander Mattison,RB,MIA,6.0,0,0,0,0.0,0.0,7,29,0.3,1,1,6,0.0,9.6,8.3,5.2,7.7,12,29.44,8
Craig Reynolds,RB,DET,23.4,0,0,0,0.0,0.0,33,158,0.0,5,4,34,0.1,1.5,2.1,3.8,2.5,8,26.72,8
Emari Demercado,RB,ARI,14.4,0,0,0,0.0,0.0,14,72,0.0,5,4,27,0.1,4.2,5.1,0.0,4.7,8,26.560000000000002,8
Michael Carter,RB,ARI,1.2,0,0,0,0.0,0.0,2,8,0.1,0,0,0,0.0,11.7,3.9,7.8,7.8,8,25.92,8
Dameon Pierce,RB,HOU,1.0,0,0,0,0.0,0.0,2,9,0.0,0,0,0,0.0,4.3,5.8,12.7,7.6,6,25.12,8
Samaje Perine,RB,CIN,4.1,0,0,0,0.0,0.0,3,13,0.1,1,1,9,0.0,4.6,7.1,8.8,6.8,10,25.040000000000003,8
Michael Burton,RB,DEN,28.5,0,0,0,0.0,0.0,10,39,0.4,14,10,82,0.6,1.6,0.2,0.2,0.7,12,25.04,8
Pierre Strong Jr.,RB,CLE,19.2,0,0,0,0.0,0.0,28,124,0.0,5,4,29,0.1,2.8,2.8,3.4,3.0,9,24.96,8
Isaiah Davis,RB,NYJ,11.1,0,0,0,0.0,0.0,17,69,0.0,3,2,16,0.1,5.0,0.0,0.0,5.0,9,24.880000000000003,8
Scott Matlock,RB,LAC,29.1,0,0,0,0.0,0.0,1,5,0.0,20,16,106,0.4,0.4,0.0,0.0,0.4,12,24.560000000000002,8
Woody Marks,RB,HOU,24.2,0,0,0,0.0,0.0,27,110,0.7,6,4,31,0.2,,,,,6,24.2,8
Clyde Edwards-Helaire,RB,NO,1.4,0,0,0,0.0,0.0,2,10,0.1,0,0,0,0.0,0.0,4.6,9.8,7.2,11,24.160000000000004,8
Kenneth Gainwell,RB,PIT,9.4,0,0,0,0.0,0.0,11,48,0.1,3,2,17,0.1,3.6,5.9,5.1,4.9,5,23.200000000000003,8
Jeremy McNichols,RB,WAS,13.1,0,0,0,0.0,0.0,14,66,0.4,3,2,16,0.1,3.8,0.0,0.0,3.8,12,22.64,8
Will Shipley,RB,PHI,20.1,0,0,0,0.0,0.0,41,170,0.3,1,1,5,0.0,1.9,0.0,0.0,1.9,9,22.160000000000004,8
Velus Jones Jr.,RB,NO,19.7,0,0,0,0.0,0.0,24,102,0.7,4,3,20,0.1,0.0,0.8,3.2,2.0,11,22.16,8
Jaleel McLaughlin,RB,DEN,1.6,0,0,0,0.0,0.0,3,13,0.0,0,0,0,0.0,6.0,6.2,0.0,6.1,12,20.8,8
Troy Hairston,RB,CLE,22.2,0,0,0,0.0,0.0,5,17,0.1,13,9,82,0.4,0.0,0.0,0.4,0.4,9,19.040000000000003,8
Devin Neal,RB,NO,19.0,0,0,0,0.0,0.0,22,89,0.7,4,3,20,0.1,,,,,11,19.0,8
Carson Steele,RB,KC,17.9,0,0,0,0.0,0.0,21,82,0.5,5,4,25,0.1,1.4,0.0,0.0,1.4,10,18.8,8
C.J. Ham,RB,MIN,18.8,0,0,0,0.0,0.0,4,15,0.2,12,9,55,0.2,0.8,0.5,1.8,1.0,6,18.240000000000002,8
Carlos Washington,RB,ATL,16.5,0,0,0,0.0,0.0,21,84,0.7,3,2,13,0.1,,,,,5,16.5,8
Hassan Haskins,RB,LAC,12.2,0,0,0,0.0,0.0,10,42,0.5,3,3,20,0.1,2.2,0.0,1.8,2.0,12,16.16,8
Jordan James,RB,SF,16.0,0,0,0,0.0,0.0,20,82,0.7,3,2,14,0.1,,,,,14,16.0,8
Kyle Monangai,RB,CHI,15.5,0,0,0,0.0,0.0,19,78,0.6,3,2,14,0.1,,,,,5,15.5,8
Andrew Beck,RB,NYJ,15.3,0,0,0,0.0,0.0,1,2,0.0,11,7,58,0.3,,,,,9,15.3,8
Tyler Goodson,RB,IND,7.5,0,0,0,0.0,0.0,9,42,0.1,2,1,9,0.1,2.9,2.8,0.0,2.9,11,15.28,8
Nyheim Hines,RB,LAC,1.8,0,0,0,0.0,0.0,3,11,0.1,0,0,0,0.0,0.0,0.0,4.3,4.3,12,15.2,8
Zamir White,RB,LV,5.7,0,0,0,0.0,0.0,9,41,0.2,0,0,3,0.0,4.4,4.9,0.6,3.3,8,15.120000000000001,8
Darrynton Evans,RB,BUF,3.5,0,0,0,0.0,0.0,4,17,0.1,0,0,4,0.0,0.0,4.8,2.5,3.7,7,14.640000000000002,8
Salvon Ahmed,RB,IND,1.6,0,0,0,0.0,0.0,2,11,0.1,0,0,0,0.0,0.0,5.3,2.2,3.8,11,13.440000000000001,8
Sincere McCormick,RB,LV,12.0,0,0,0,0.0,0.0,15,62,0.4,2,2,12,0.1,,,,,8,12.0,8
Ronnie Rivers,RB,LAR,2.4,0,0,0,0.0,0.0,4,18,0.0,0,0,3,0.0,3.4,2.7,3.0,3.0,8,11.520000000000001,8
Kimani Vidal,RB,LAC,1.0,0,0,0,0.0,0.0,2,10,0.0,0,0,0,0.0,3.2,0.0,0.0,3.2,12,11.040000000000003,8
Kenny McIntosh,RB,SEA,2.6,0,0,0,0.0,0.0,5,20,0.0,0,0,3,0.0,2.8,0.0,0.0,2.8,8,11.04,8
Patrick Taylor,RB,SF,2.4,0,0,0,0.0,0.0,3,13,0.1,0,0,3,0.0,4.1,2.6,1.0,2.6,14,10.24,9
Gary Brightwell,RB,CIN,2.4,0,0,0,0.0,0.0,3,11,0.1,0,0,3,0.0,0.0,0.0,2.5,2.5,10,9.92,9
Travis Homer,RB,CHI,2.0,0,0,0,0.0,0.0,2,8,0.1,1,0,3,0.0,1.0,0.0,4.2,2.6,5,9.92,9
Jordan Mims,RB,TEN,0.8,0,0,0,0.0,0.0,2,8,0.0,0,0,0,0.0,2.9,0.0,0.0,2.9,10,9.92,9
Christopher Brooks,RB,GB,0.7,0,0,0,0.0,0.0,1,5,0.0,0,0,0,0.0,3.2,2.5,0.0,2.9,5,9.84,9
Dare Ogunbowale,RB,HOU,0.5,0,0,0,0.0,0.0,1,3,0.0,0,0,0,0.0,3.2,0.8,3.7,2.6,6,8.72,9
Jermar Jefferson,RB,TEN,2.7,0,0,0,0.0,0.0,4,16,0.2,0,0,0,0.0,2.0,0.0,0.0,2.0,10,8.56,9
Avery Williams,RB,PHI,1.0,0,0,0,0.0,0.0,2,8,0.0,0,0,0,0.0,0.0,0.0,2.3,2.3,9,8.16,9
Julius Chestnut,RB,TEN,2.3,0,0,0,0.0,0.0,4,16,0.1,0,0,0,0.0,1.3,0.0,2.0,1.7,10,7.28,9
DeeJay Dallas,RB,ARI,1.1,0,0,0,0.0,0.0,3,11,0.0,0,0,0,0.0,2.3,0.6,3.2,2.0,8,7.28,9
Raheem Blackshear,RB,CAR,1.0,0,0,0,0.0,0.0,2,7,0.0,0,0,1,0.0,0.9,1.3,3.8,2.0,14,7.2,9
