NAME,POS,TEAM,PPR_PTS,CMP,ATT,PASS_YDS,PASS_TD,INT,RUSH,RUSH_YDS,RUSH_TD,TGT,REC,REC_YDS,REC_TD
TreVeyon Henderson,RB,NE,152.7,0,0,0,0,0,141,606,4.3,41,32,250,1.7
Tyrone Tracy Jr.,RB,NYG,150.2,0,0,0,0,0,161,747,2.7,42,32,224,1
Tank Bigsby,RB,JAC,129.6,0,0,0,0,0,151,703,5.8,19,14,94,0.3
Nick Chubb,RB,HOU,132.1,0,0,0,0,0,135,609,5.4,25,19,158,0.8
Najee Harris,RB,LAC,135.3,0,0,0,0,0,129,574,3.5,37,29,237,0.9
Dylan Sampson,RB,CLE,128.5,0,0,0,0,0,142,603,4.1,29,22,163,0.9
Rachaad White,RB,TB,135.1,0,0,0,0,0,109,497,3.3,40,31,263,1.5
Trey Benson,RB,ARI,120.2,0,0,0,0,0,155,682,3.7,22,17,124,0.4
Austin Ekeler,RB,WAS,140.5,0,0,0,0,0,97,441,2,54,41,356,1.5
Cam Skattebo,RB,NYG,125.2,0,0,0,0,0,119,525,3.2,34,26,203,1.3
Javonte Williams,RB,DAL,132.9,0,0,0,0,0,107,458,3.7,46,35,248,1
Rico Dowdle,RB,CAR,117.2,0,0,0,0,0,128,615,2.7,26,20,149,0.9
Quinshon Judkins,RB,CLE,111.9,0,0,0,0,0,119,521,3.5,26,20,145,0.8
Tyler Allgeier,RB,ATL,101.1,0,0,0,0,0,134,645,3.1,13,10,78,0.2
Roschon Johnson,RB,CHI,105.4,0,0,0,0,0,82,367,6.6,19,15,120,0.5
Isaac Guerendo,RB,SF,104.4,0,0,0,0,0,116,503,3.9,20,16,133,0.5
Ray Davis,RB,BUF,108.2,0,0,0,0,0,108,493,2.3,27,21,180,1.2
Elijah Mitchell,RB,KC,104.8,0,0,0,0,0,94,428,3.3,27,20,155,1.1
Zach Charbonnet,RB,SEA,108.1,0,0,0,0,0,90,416,3.4,31,24,184,0.7
Miles Sanders,RB,DAL,109.9,0,0,0,0,0,89,392,2.2,38,29,220,1.2
J.K. Dobbins,RB,DEN,107.8,0,0,0,0,0,93,436,2.3,36,28,178,1
Jaylen Wright,RB,MIA,90.7,0,0,0,0,0,120,525,2,17,13,105,0.6
Raheem Mostert,RB,LV,93.5,0,0,0,0,0,91,408,3.2,23,17,143,0.5
Blake Corum,RB,LAR,86.5,0,0,0,0,0,103,445,3.5,15,11,88,0.3
Jaydon Blue,RB,DAL,89,0,0,0,0,0,72,291,2.1,28,21,188,1.2
Jerome Ford,RB,CLE,84.4,0,0,0,0,0,84,405,1.8,24,18,137,0.3
Trey Sermon,RB,PIT,75.2,0,0,0,0,0,82,358,3.3,14,11,70,0.4
Braelon Allen,RB,NYJ,80,0,0,0,0,0,89,411,1.6,22,17,120,0.3
Devin Singletary,RB,NYG,75,0,0,0,0,0,84,377,2.5,16,12,95,0.2
Bhayshul Tuten,RB,JAC,77,0,0,0,0,0,82,330,2.6,19,14,99,0.7
AJ Dillon,RB,PHI,67,0,0,0,0,0,78,386,1.6,12,9,68,0.5
MarShawn Lloyd,RB,GB,71.9,0,0,0,0,0,69,292,2.1,20,15,118,0.7
Emanuel Wilson,RB,GB,67.5,0,0,0,0,0,73,349,1.8,14,11,87,0.5
Zack Moss,RB,CIN,69.5,0,0,0,0,0,56,238,2.3,20,16,133,0.6
Kendre Miller,RB,NO,61.7,0,0,0,0,0,66,303,2,13,10,85,0.3
Cam Akers,RB,NO,57.3,0,0,0,0,0,63,290,1.9,12,9,61,0.4
Justice Hill,RB,BAL,73.8,0,0,0,0,0,24,111,0.2,35,27,251,1.7
Keaton Mitchell,RB,BAL,43.6,0,0,0,0,0,54,268,1.6,4,3,32,0.2
Antonio Gibson,RB,NE,46.4,0,0,0,0,0,52,241,0.7,12,9,79,0.3
Kalel Mullings,RB,TEN,46.5,0,0,0,0,0,47,193,1.4,12,10,64,0.5
Deuce Vaughn,RB,DAL,40.1,0,0,0,0,0,62,243,1.5,5,4,31,0.1
Damien Martinez,RB,SEA,44.1,0,0,0,0,0,46,196,1.3,11,8,58,0.4
Kareem Hunt,RB,KC,41,0,0,0,0,0,40,173,1.9,7,6,45,0.4
Jarquez Hunter,RB,LAR,41.4,0,0,0,0,0,46,185,1.4,9,7,49,0.4
DJ Giddens,RB,IND,41.1,0,0,0,0,0,47,187,1.4,9,7,47,0.3
Sean Tucker,RB,TB,36.8,0,0,0,0,0,45,196,1.7,5,4,32,0.1
Brock Lampe,RB,NE,57.6,0,0,0,0,0,14,46,0.4,34,26,167,1.4
Audric Estime,RB,DEN,34.8,0,0,0,0,0,46,197,1.1,6,5,34,0.1
Ollie Gordon II,RB,MIA,38,0,0,0,0,0,40,161,1,10,8,55,0.4
Kyle Juszczyk,RB,SF,51.4,0,0,0,0,0,10,37,0.5,29,23,177,0.8
Trevor Etienne,RB,CAR,33.1,0,0,0,0,0,35,144,1.1,8,6,43,0.3
Hunter Luepke,RB,DAL,38.7,0,0,0,0,0,25,100,1,16,12,93,0.3
Tahj Brooks,RB,CIN,33.8,0,0,0,0,0,32,130,1,10,7,54,0.3
Ty Johnson,RB,BUF,33.2,0,0,0,0,0,16,77,0.3,13,10,94,0.8
