NAME,POS,Y2024,Y2023,Y2022,AVG_PPG_PPR,TEAM
Quentin Johnston,WR,11.7,5.5,0.0,8.6,LAC
Tyler Higbee,TE,8.7,7.2,8.9,8.3,LAR
Michael Carter,RB,11.7,3.9,7.8,7.8,ARI
Zach Charbonnet,RB,10.6,6.6,0.0,8.6,SEA
Jameis Winston,QB,10.2,1.7,13.7,8.5,NYG
Dalton Kincaid,TE,7.7,9.4,0.0,8.6,BUF
Jaylen Warren,RB,8.3,11.5,5.8,8.5,PIT
Hunter Renfrow,WR,0.0,2.8,7.9,5.4,CAR
Zack Moss,RB,10.1,11.9,4.8,8.9,CIN
Ricky Pearsall,WR,8.5,0.0,0.0,8.5,SF
Rome Odunze,WR,8.5,0.0,0.0,8.5,CHI
Sam Ehlinger,QB,0.0,0.0,8.5,8.5,DEN
Kendrick Bourne,WR,5.3,12.4,5.4,7.7,NE
Kyle Pitts,TE,7.7,8.1,7.5,7.8,ATL
Desmond Ridder,QB,4.2,11.5,9.5,8.4,CIN
Bailey Zappe,QB,0.0,6.8,10.0,8.4,KC
Juju Smith-Schuster,WR,3.8,5.5,11.6,7.0,KC
Michael Gallup,WR,0.0,5.1,7.5,6.3,WAS
Kenny Pickett,QB,4.8,9.1,11.2,8.4,CLE
Jalen Coker,WR,8.3,0.0,0.0,8.3,CAR
Mason Rudolph,QB,11.6,9.5,0.0,10.6,PIT
Keon Coleman,WR,8.3,0.0,0.0,8.3,BUF
Joshua Palmer,WR,6.8,10.6,10.4,9.3,BUF
Rondale Moore,WR,0.0,6.1,11.0,8.6,MIN
AJ Dillon,RB,0.0,7.8,9.8,8.8,PHI
Elijah Moore,WR,7.1,7.8,5.5,6.8,BUF
Devaughn Vele,WR,8.2,0.0,0.0,8.2,DEN
Mike White,QB,0.0,0.3,13.8,7.1,BUF
Michael Wilson,WR,7.7,8.6,0.0,8.2,ARI
Demario Douglas,WR,8.7,7.6,0.0,8.2,NE
Curtis Samuel,WR,4.5,9.8,10.3,8.2,BUF
Rashod Bateman,WR,10.2,4.7,8.8,7.9,BAL
John Wolford,QB,0.0,0.0,4.7,4.7,JAC
Tyler Allgeier,RB,6.1,7.9,9.8,7.9,ATL
Xavier Legette,WR,7.8,0.0,0.0,7.8,CAR
Mike Gesicki,TE,8.3,3.8,5.8,6.0,CIN
Dameon Pierce,RB,4.3,5.8,12.7,7.6,HOU
Nyheim Hines,RB,0.0,0.0,4.3,4.3,LAC
Alec Pierce,WR,10.1,5.6,7.0,7.6,IND
Darius Slayton,WR,6.8,8.9,8.0,7.9,NYG
Cade Otton,TE,10.1,6.7,5.8,7.5,TB
Mitch Trubisky,QB,1.7,9.2,10.4,7.1,BUF
Jonnu Smith,TE,13.1,7.3,3.6,8.0,PIT
Alexander Mattison,RB,9.6,8.3,5.2,7.7,MIA
Jerome Ford,RB,9.5,12.4,0.5,7.5,CLE
Cole Kmet,TE,6.9,10.6,8.6,8.7,CHI
Tyrod Taylor,QB,8.5,7.8,3.0,6.4,NYJ
Tommy DeVito,QB,4.3,10.3,0.0,7.3,NYG
Nick Mullens,QB,0.3,13.2,2.5,5.3,JAC
Dontayvion Wicks,WR,6.5,7.9,0.0,7.2,GB
Davis Mills,QB,2.3,2.3,12.3,5.6,HOU
Cordarrelle Patterson,RB,2.8,2.6,11.4,5.6,PIT
K.J. Osborn,WR,2.3,7.5,9.1,6.3,WAS
Jauan Jennings,WR,14.0,3.9,5.1,7.7,SF
Tucker Kraft,TE,9.4,4.6,0.0,7.0,GB
Khalil Shakir,WR,12.1,6.6,2.3,7.0,BUF
Jake Ferguson,TE,7.4,10.4,3.0,6.9,DAL
Jahan Dotson,WR,2.4,7.3,10.8,6.8,PHI
Ray Davis,RB,6.8,0.0,0.0,6.8,BUF
Cam Akers,RB,6.1,6.6,9.3,7.3,NO
Josh Reynolds,WR,4.2,7.5,7.4,6.4,NYJ
Dawson Knox,TE,3.7,4.3,9.0,5.7,BUF
Marquez Valdes-Scantling,WR,6.0,3.5,7.2,5.6,SEA
Tyler Conklin,TE,7.4,7.2,7.7,7.4,LAC
Mecole Hardman Jr.,WR,3.0,2.5,11.6,5.7,GB
Isaiah Likely,TE,7.7,5.9,5.7,6.4,BAL
Khalil Herbert,RB,2.4,9.2,9.0,6.9,IND
Jarrett Stidham,QB,0.0,8.3,8.4,8.4,DEN
Isaac Guerendo,RB,6.3,0.0,0.0,6.3,SF
Roschon Johnson,RB,5.9,6.7,0.0,6.3,CHI
Robert Tonyan,TE,0.0,1.3,6.5,3.9,KC
Trey Lance,QB,3.0,0.0,5.5,4.3,LAC
Chigoziem Okonkwo,TE,6.5,6.6,5.6,6.2,TEN
Zay Jones,WR,1.5,8.7,12.3,7.5,ARI
Samaje Perine,RB,4.6,7.1,8.8,6.8,CIN
Jacoby Brissett,QB,5.3,7.0,10.4,7.6,ARI
Demarcus Robinson,WR,7.2,6.7,6.1,6.7,SF
Rico Dowdle,RB,12.3,5.7,0.0,9.0,CAR
Jaleel McLaughlin,RB,6.0,6.2,0.0,6.1,DEN
A.T. Perry,WR,0.0,6.0,0.0,6.0,DEN
Tre Tucker,WR,7.5,4.4,0.0,6.0,LV
Donovan Peoples-Jones,WR,0.0,1.9,9.4,5.7,NO
Noah Brown,WR,7.8,10.1,7.1,8.3,WAS
Austin Hooper,TE,6.4,2.8,5.7,5.0,NE
Tutu Atwell,WR,5.8,6.8,4.8,5.8,LAR
Marvin Mims Jr.,WR,7.6,4.0,0.0,5.8,DEN
Anthony Miller,WR,0.0,0.0,0.0,0.0,BAL
Theo Johnson,TE,5.7,0.0,0.0,5.7,NYG
Irv Smith Jr.,TE,0.0,2.8,6.9,4.9,HOU
Jordan Mason,RB,9.5,4.0,3.4,5.6,MIN
Kristian Wilkerson,WR,4.5,0.0,0.0,4.5,BUF
Laviska Shenault Jr.,WR,0.7,2.6,5.5,2.9,BUF
Juwan Johnson,TE,7.2,7.5,8.4,7.7,NO
Kenneth Gainwell,RB,3.6,5.9,5.1,4.9,PIT
K.J. Hamler,WR,0.0,0.0,0.0,0.0,BUF
Salvon Ahmed,RB,0.0,5.3,2.2,3.8,IND
Parris Campbell,WR,3.0,2.7,8.7,4.8,DAL
Chris Moore,WR,0.0,3.9,7.1,5.5,WAS
Albert Okwuegbunam,TE,0.0,0.0,3.1,3.1,IND
Kalif Raymond,WR,4.2,5.6,6.3,5.4,DET
Van Jefferson,WR,3.7,2.4,7.1,4.4,TEN
Bo Melton,WR,1.3,9.0,0.0,5.2,GB
Ty Johnson,RB,5.4,4.0,3.8,4.4,BUF
Nick Westbrook-Ikhine,WR,7.9,5.9,4.8,6.2,MIA
Quintez Cephus,WR,0.0,0.0,0.8,0.8,SF
Cedric Tillman,WR,7.1,3.1,0.0,5.1,CLE
David Moore,WR,5.0,2.9,0.0,4.0,CAR
Cooper Rush,QB,8.7,0.4,6.4,5.2,BAL
Andrei Iosivas,WR,7.0,3.1,0.0,5.1,CIN
Braxton Berrios,WR,0.0,3.6,3.6,3.6,HOU
Olamide Zaccheaus,WR,6.5,2.2,6.4,5.0,CHI
Kendre Miller,RB,4.7,5.3,0.0,5.0,NO
Tank Bigsby,RB,8.5,1.5,0.0,5.0,JAC
Isaiah Davis,RB,5.0,0.0,0.0,5.0,NYJ
Braelon Allen,RB,4.9,0.0,0.0,4.9,NYJ
Jelani Woods,TE,0.0,0.0,4.9,4.9,IND
Calvin Austin III,WR,6.6,3.1,0.0,4.9,PIT
Tyler Johnson,WR,4.1,8.0,0.0,6.1,NYJ
Quez Watkins,WR,0.0,3.9,4.9,4.4,ARI
Mack Hollins,WR,5.8,3.3,9.1,6.1,NE
Justice Hill,RB,8.4,6.8,2.7,6.0,BAL
Isaiah Hodgins,WR,1.0,3.5,9.8,4.8,SF
Parker Washington,WR,5.2,4.3,0.0,4.8,JAC
Ty Chandler,RB,2.3,7.1,0.0,4.7,MIN
Emari Demercado,RB,4.2,5.1,0.0,4.7,ARI
AJ Barner,TE,4.6,0.0,0.0,4.6,SEA
Ja’Tavion Sanders,TE,4.6,0.0,0.0,4.6,CAR
Greg Dortch,WR,5.3,4.9,6.9,5.7,ARI
Brandon Allen,QB,1.7,0.0,0.0,1.7,TEN
Will Dissly,TE,7.3,2.5,5.7,5.2,LAC
Dante Pettis,WR,3.8,0.0,3.7,3.8,NO
Foster Moreau,TE,6.1,3.1,5.7,5.0,NO
Cedrick Wilson,WR,3.4,4.6,1.7,3.2,NO
Kayshon Boutte,WR,8.0,0.6,0.0,4.3,NE
Treylon Burks,WR,1.4,3.5,7.9,4.3,TEN
Jalen Tolbert,WR,8.9,3.5,0.4,4.3,DAL
Zach Pascal,WR,0.0,0.4,2.1,1.3,NYG
Luke Musgrave,TE,1.6,6.8,0.0,4.2,GB
Jamal Agnew,WR,0.0,3.6,4.5,4.1,ATL
Jalen Nailor,WR,6.1,1.0,5.3,4.1,MIN
Troy Franklin,WR,4.1,0.0,0.0,4.1,DEN
Michael Mayer,TE,3.3,4.9,0.0,4.1,LV
Ray-Ray McCloud,WR,8.2,2.5,3.4,4.7,ATL
Noah Gray,TE,6.6,4.1,4.1,4.9,KC
Greg Dulcich,TE,0.8,2.5,8.6,4.0,NYG
Lil’Jordan Humphrey,WR,3.8,2.8,0.0,3.3,NYG
Jeremy McNichols,RB,3.8,0.0,0.0,3.8,WAS
Malik Washington,WR,3.9,0.0,0.0,3.9,MIA
Dez Fitzpatrick,WR,0.0,0.0,0.0,0.0,LAC
Emanuel Wilson,RB,5.6,2.0,0.0,3.8,GB
Audric Estime,RB,3.7,0.0,0.0,3.7,DEN
Jonathan Mingo,WR,1.8,5.6,0.0,3.7,DAL
Jaret Patterson,RB,0.0,0.0,0.0,0.0,LAC
Jordan Whittington,WR,3.7,0.0,0.0,3.7,LAR
Bub Means,WR,3.7,0.0,0.0,3.7,NO
Tommy Tremble,TE,4.7,3.8,3.1,3.9,CAR
Laquon Treadwell,WR,0.0,0.7,1.7,1.2,IND
Kyle Juszczyk,RB,3.4,2.2,3.3,3.0,SF
Justin Watson,WR,3.6,5.6,3.4,4.2,HOU
Mo Alie-Cox,TE,1.9,2.8,3.1,2.6,IND
Devin Duvernay,WR,1.5,0.5,7.8,3.3,CHI
Trey Benson,RB,3.5,0.0,0.0,3.5,ARI
Malik Willis,QB,7.3,0.7,2.4,3.5,GB
Daniel Bellinger,TE,1.5,2.9,6.0,3.5,NYG
Jalen Reagor,WR,1.9,1.9,1.9,1.9,LAC
Adonai Mitchell,WR,3.4,0.0,0.0,3.4,IND
DeAndre Carter,WR,1.8,0.5,6.6,3.0,CLE
Brevin Jordan,TE,1.0,3.8,2.4,2.4,HOU
Darrynton Evans,RB,0.0,4.8,2.5,3.7,BUF
DeeJay Dallas,RB,2.3,0.6,3.2,2.0,ARI
Zamir White,RB,4.4,4.9,0.6,3.3,LV
Sean Tucker,RB,5.6,1.0,0.0,3.3,TB
Kevin Austin Jr.,WR,3.3,0.0,0.0,3.3,NO
Skyy Moore,WR,0.0,3.8,2.8,3.3,KC
Tanner Hudson,TE,3.5,6.7,2.1,4.1,CIN
